,ssoc_2015,ssoc_2015_title
310,22151,Sports Physician
311,22159,"Other Specialist Medical Practitioners (Other Specialisations) (Eg Occupational Physician, Radiation Oncologist)"
312,222,Nursing Professionals
313,2220,Nursing Professionals
314,22200,"Registered Nurse And Other Nursing Professionals (Eg Clinical Nurse, Nurse Educator, Excluding Enrolled Nurse)"
315,223,Traditional And Complementary Medicine Professionals
316,2230,Traditional And Complementary Medicine Professionals
317,22301,Traditional Chinese Medicine Practitioner
318,22302,Traditional Chinese Medicine Acupuncturist
319,225,Veterinarians
320,2250,Veterinarians
321,22500,Veterinarian
322,226,Other Health Professionals
323,2261,Dentists
324,22611,Dentist (General)
325,22612,Specialised Dentist (Eg Orthodontist)
326,2262,Pharmacists
327,22621,Pharmacist (Patient Care)
328,22629,Other Pharmacists
329,2263,Environmental And Occupational Health And Hygiene Professionals
330,22631,Occupational Health Professional (Eg Occupational Hygienists And Occupational Hygiene Officer)
331,22632,Environmental Officer (Public Health)
332,22639,Other Environmental And Occupational Health And Hygiene Professionals
333,2264,Physiotherapists And Related Professionals
334,22641,Physiotherapist
335,22649,Other Physical Therapists And Related Professionals
336,2265,Dietitians And Nutritionists
337,22651,Dietitian
338,22652,Nutritionist
339,2266,Audiologists And Speech Therapists
340,22661,Audiologist
341,22662,Speech Therapist
342,2267,Optometrists
343,22670,Optometrist
344,2268,Occupational Therapists
345,22680,Occupational Therapist
346,2269,Other Health Professionals Not Elsewhere Classified
347,22691,Osteopath
348,22692,Chiropractor
349,22693,Podiatrist
350,22694,Medical Diagnostic Radiographer
351,22695,Radiation Therapist
352,22699,Other Health Professionals N.E.C.
353,23,Teaching And Training Professionals
354,231,"University, Polytechnic And Higher Education Teachers"
355,2310,"University, Polytechnic And Higher Education Teachers"
356,23101,University Lecturer
357,23102,Polytechnic Lecturer
358,23103,Teaching Assistant/Tutor In Universities
359,23109,"Other University, Polytechnic And Higher Education Teachers"
360,232,Junior College And Pre-University Education Teachers
361,2320,Junior College And Pre-University Education Teachers
362,23200,Junior College And Pre-University Teacher (Including Integrated Programme Year 5-6 Teacher)
363,233,Vocational Education Teachers And Trainers
364,2330,Vocational Education Teachers And Trainers
365,23300,Technical/Vocational/Commercial Education Institute Teacher And Trainer
366,234,Secondary Education Teachers
367,2340,Secondary Education Teachers
368,23400,Secondary School Teacher (Including Integrated Programme Year 1-4 Teacher)
369,235,Primary Education Teachers
370,2350,Primary School Teachers
371,23500,Primary School Teacher
372,236,Other Teaching Professionals
373,2361,Education Methods Specialists
374,23611,Education Methods Adviser
375,23612,Teaching Aid Specialist (Including Audio-Visual Aid Specialist)
376,23619,Other Education Methods Specialists
377,2362,Special Education Teachers
378,23621,Teacher Of The Blind
379,23622,Teacher Of The Deaf
380,23623,Teacher Of The Mentally Handicapped
381,23624,Special Education Teachers For Infants And Children (Eg Early Intervention Programme For Infants And Children Teachers)
382,23629,Other Special Education Teachers
383,2369,Other Teaching Professionals Not Elsewhere Classified
384,23690,Other Teaching Professionals N.E.C.
